d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 631.563   5.0   7.140E-02  -1.244E-02   6.422E-01   7.419E-02   6.585E-02   2.110E+00   1.000E+00   0.000E+00   6.422E-01   2.110E+00
 631.563   7.0   7.156E-02  -1.238E-02   6.332E-01   7.434E-02   6.458E-02   2.095E+00   1.000E+00   0.000E+00   6.332E-01   2.095E+00
 631.563  10.0   7.165E-02  -1.219E-02   6.241E-01   7.451E-02   6.328E-02   2.082E+00   1.000E+00   0.000E+00   6.241E-01   2.082E+00
 631.563  15.0   7.169E-02  -1.183E-02   6.041E-01   7.478E-02   6.194E-02   2.081E+00   1.000E+00   0.000E+00   6.041E-01   2.081E+00
 631.563  20.0   7.149E-02  -1.133E-02   5.950E-01   7.493E-02   6.111E-02   2.077E+00   1.000E+00   0.000E+00   5.950E-01   2.077E+00
 774.683   1.0   6.771E-02  -9.973E-03   1.082E+00   7.388E-02   7.412E-02   2.316E+00   1.000E+00   0.000E+00   1.082E+00   2.316E+00
 774.683   3.0   6.776E-02  -9.957E-03   1.097E+00   7.390E-02   7.309E-02   2.285E+00   1.000E+00   0.000E+00   1.097E+00   2.285E+00
 774.683   5.0   6.771E-02  -9.726E-03   1.149E+00   7.403E-02   7.142E-02   2.255E+00   1.000E+00   0.000E+00   1.149E+00   2.255E+00
 774.683   7.0   6.764E-02  -9.502E-03   1.200E+00   7.422E-02   7.008E-02   2.242E+00   1.000E+00   0.000E+00   1.200E+00   2.242E+00
 774.683  10.0   6.738E-02  -9.024E-03   1.300E+00   7.435E-02   6.866E-02   2.216E+00   1.000E+00   0.000E+00   1.300E+00   2.216E+00
 774.683  15.0   6.713E-02  -8.490E-03   1.419E+00   7.466E-02   6.718E-02   2.219E+00   1.000E+00   0.000E+00   1.419E+00   2.219E+00
 774.683  20.0   6.705E-02  -8.166E-03   1.464E+00   7.471E-02   6.622E-02   2.199E+00   1.000E+00   0.000E+00   1.464E+00   2.199E+00
 897.803   1.0   6.784E-02  -1.103E-02   8.361E-01   7.116E-02   8.365E-02   2.197E+00   1.000E+00   0.000E+00   8.361E-01   2.197E+00
 897.803   3.0   6.801E-02  -1.112E-02   8.274E-01   7.109E-02   8.274E-02   2.163E+00   1.000E+00   0.000E+00   8.274E-01   2.163E+00
 897.803   5.0   6.810E-02  -1.103E-02   8.351E-01   7.093E-02   8.121E-02   2.105E+00   1.000E+00   0.000E+00   8.351E-01   2.105E+00
 897.803   7.0   6.820E-02  -1.098E-02   8.433E-01   7.071E-02   8.014E-02   2.057E+00   1.000E+00   0.000E+00   8.433E-01   2.057E+00
 897.803  10.0   6.831E-02  -1.086E-02   8.476E-01   7.014E-02   7.923E-02   1.978E+00   1.000E+00   0.000E+00   8.476E-01   1.978E+00
 897.803  15.0   6.791E-02  -1.019E-02   9.295E-01   6.893E-02   7.848E-02   1.844E+00   1.000E+00   0.000E+00   9.295E-01   1.844E+00
 897.803  20.0   6.750E-02  -9.494E-03   1.008E+00   6.767E-02   7.834E-02   1.728E+00   1.000E+00   0.000E+00   1.008E+00   1.728E+00
1036.361   1.0   6.987E-02  -1.308E-02   5.967E-01   7.444E-02   8.399E-02   2.639E+00   1.000E+00   0.000E+00   5.967E-01   2.639E+00
1036.361   3.0   6.980E-02  -1.296E-02   6.077E-01   7.445E-02   8.322E-02   2.617E+00   1.000E+00   0.000E+00   6.077E-01   2.617E+00
1036.361   5.0   7.008E-02  -1.309E-02   5.974E-01   7.468E-02   8.135E-02   2.595E+00   1.000E+00   0.000E+00   5.974E-01   2.595E+00
1036.361   7.0   6.947E-02  -1.235E-02   6.560E-01   7.488E-02   7.993E-02   2.585E+00   1.000E+00   0.000E+00   6.560E-01   2.585E+00
1036.361  10.0   6.942E-02  -1.197E-02   6.510E-01   7.510E-02   7.823E-02   2.568E+00   1.000E+00   0.000E+00   6.510E-01   2.568E+00
1036.361  15.0   7.057E-02  -1.272E-02   5.583E-01   7.559E-02   7.582E-02   2.576E+00   1.000E+00   0.000E+00   5.583E-01   2.576E+00
1036.361  20.0   7.132E-02  -1.309E-02   5.039E-01   7.584E-02   7.402E-02   2.567E+00   1.000E+00   0.000E+00   5.039E-01   2.567E+00
